,Address,Price,Description,Amount_Reduced,Link
55,"7337 S South Shore Dr Apt 314 Chicago, IL 60649","$64,900",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7337-S-South-Shore-Dr-Apt-314_Chicago_IL_60649_M82665-46433?from=srp-list-card
56,"3410 W 116th St Chicago, IL 60655","$299,000",House for sale,$10k,https://www.realtor.com//realestateandhomes-detail/3410-W-116th-St_Chicago_IL_60655_M86209-33319?from=srp-list-card
57,"9754 S Lowe Ave Chicago, IL 60628","$265,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9754-S-Lowe-Ave_Chicago_IL_60628_M76260-22962?from=srp-list-card
58,"12206 S Sangamon St Chicago, IL 60643","$214,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/12206-S-Sangamon-St_Chicago_IL_60643_M74828-73104?from=srp-list-card
59,"461 E Bowen Ave Unit 3 Chicago, IL 60653","$329,900",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/461-E-Bowen-Ave-Unit-3_Chicago_IL_60653_M81446-11781?from=srp-list-card
60,"11136 S Kedzie Ave Chicago, IL 60655","$599,900",Multi-family home for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/11136-S-Kedzie-Ave_Chicago_IL_60655_M95395-93406?from=srp-list-card
61,"3939 W 66th St Chicago, IL 60629","$310,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3939-W-66th-St_Chicago_IL_60629_M88437-17378?from=srp-list-card
62,"925 N Willard Ct Apt 2E Chicago, IL 60642","$615,000",Townhouse for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/925-N-Willard-Ct-Apt-2E_Chicago_IL_60642_M88406-80923?from=srp-list-card
63,"7307 S Marshfield Ave Chicago, IL 60636","$279,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7307-S-Marshfield-Ave_Chicago_IL_60636_M80186-58858?from=srp-list-card
64,"846 W Ainslie St Apt O1 Chicago, IL 60640","$159,900",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/846-W-Ainslie-St-Apt-O1_Chicago_IL_60640_M86827-37768?from=srp-list-card
65,"6619 N Maplewood Ave Chicago, IL 60645","$499,999",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6619-N-Maplewood-Ave_Chicago_IL_60645_M89792-09528?from=srp-list-card
66,"900 S Bell Ave Chicago, IL 60612","$599,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/900-S-Bell-Ave_Chicago_IL_60612_M84603-96745?from=srp-list-card
67,"9401 S Sangamon St Chicago, IL 60620","$164,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9401-S-Sangamon-St_Chicago_IL_60620_M82146-38524?from=srp-list-card
68,"3 W Burton Pl Chicago, IL 60610","$15,750,000",House for sale,$3M,https://www.realtor.com//realestateandhomes-detail/3-W-Burton-Pl_Chicago_IL_60610_M95466-82089?from=srp-list-card
69,"3740 N Harding Ave Chicago, IL 60618","$559,000",House for sale,$16k,https://www.realtor.com//realestateandhomes-detail/3740-N-Harding-Ave_Chicago_IL_60618_M83931-03380?from=srp-list-card
70,"40 W 81st St Chicago, IL 60620","$140,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/40-W-81st-St_Chicago_IL_60620_M76475-02666?from=srp-list-card
71,"2158 N Natchez Ave Apt 1N Chicago, IL 60707","$230,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2158-N-Natchez-Ave-Apt-1N_Chicago_IL_60707_M78545-48360?from=srp-list-card
72,"10851 S Vincennes Ave Apt A Chicago, IL 60643","$249,800",Townhouse for sale,$5.2k,https://www.realtor.com//realestateandhomes-detail/10851-S-Vincennes-Ave-Apt-A_Chicago_IL_60643_M80605-13922?from=srp-list-card
73,"800 N Michigan Ave Ph 67 Chicago, IL 60611","$15,750,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/800-N-Michigan-Ave-Ph-67_Chicago_IL_60611_M86776-85741?from=srp-list-card
74,"2622 W Cortland St Chicago, IL 60647","$499,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2622-W-Cortland-St_Chicago_IL_60647_M83449-35818?from=srp-list-card
75,"1441 W Farwell Ave Apt 3E Chicago, IL 60626","$90,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1441-W-Farwell-Ave-Apt-3E_Chicago_IL_60626_M89112-97682?from=srp-list-card
